2016-11-11 14:18:39,807 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:18,846 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot
2016-11-11 14:22:18,847 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2016-11-11 14:22:23,938 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:23,964 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:22:23,970 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:23,981 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot\src\test\resources
2016-11-11 14:22:23,981 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Reboot
2016-11-11 14:22:23,987 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Reboot
2016-11-11 14:22:23,992 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:32,969 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot
2016-11-11 14:22:32,969 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-11-11 14:22:54,768 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:54,778 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:22:54,785 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:22:54,797 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot\src\test\resources
2016-11-11 14:23:00,741 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-11-11 14:23:37,059 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot
2016-11-11 14:23:37,059 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests clean compile install
2016-11-11 14:24:02,437 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:24:02,453 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:24:02,469 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:24:02,500 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot\src\test\resources
2016-11-11 14:24:04,359 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:24:04,812 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:24:04,937 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:24:05,000 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot\src\test\resources
2016-11-11 14:35:10,885 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:35:10,900 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:35:10,900 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:35:10,916 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Norwin Dcruz\Desktop\NIIT\Reboot\src\test\resources
2016-11-11 14:38:13,883 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 14:38:13,977 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 14:38:13,977 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
